"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","target","test","image_start","word_start","Valence","Matchness","exp_condition","screen_id"
"","","","","","psychophysics","139","336809","0.0-9.0-0.0-0.0-0.0-0.79","235","","j","","","","","","","","","","","","","key","j","16.665999999999567","720","446","j","true","3_Stimuli/T_ambi40.png","自我","Image","Word","1000","1150","他人","Mismatch","Formal",""
"","","","","","psychophysics","140","338076","0.0-9.0-0.0-0.0-0.0-0.80","113","","f","","","","","","","","","","","","","key","f","16.66905405405418","720","446","j","false","3_Stimuli/S_ambi40.png","他人","Image","Word","1000","1150","自我","Mismatch","Formal",""
"","","","","","psychophysics","141","341472","0.0-9.0-0.0-0.0-0.0-0.81","null","","null","","","","","","","","","","","","","key","null","16.666000000000256","720","446","f","false","3_Stimuli/C_ambi40.png","朋友","Word","Image","1150","1000","朋友","Match","Formal",""
"","","","","","psychophysics","142","344470","0.0-9.0-0.0-0.0-0.0-0.82","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/C_ambi40.png","自我","Word","Image","1150","1000","朋友","Mismatch","Formal",""
"","","","","","psychophysics","143","347470","0.0-9.0-0.0-0.0-0.0-0.83","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/S_ambi40.png","自我","Image","Word","1000","1150","自我","Match","Formal",""
"","","","","","psychophysics","144","350470","0.0-9.0-0.0-0.0-0.0-0.84","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/T_ambi40.png","朋友","Word","Image","1150","1000","他人","Mismatch","Formal",""
"","","","","","psychophysics","145","353467","0.0-9.0-0.0-0.0-0.0-0.85","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/T_ambi40.png","他人","Word","Image","1150","1000","他人","Match","Formal",""
"","","","","","psychophysics","146","356466","0.0-9.0-0.0-0.0-0.0-0.86","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/C_ambi40.png","他人","Image","Word","1000","1150","朋友","Mismatch","Formal",""
"","","","","","psychophysics","147","359470","0.0-9.0-0.0-0.0-0.0-0.87","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/S_ambi40.png","自我","Image","Word","1000","1150","自我","Match","Formal",""
"","","","","","psychophysics","148","362470","0.0-9.0-0.0-0.0-0.0-0.88","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/S_ambi40.png","朋友","Image","Word","1000","1150","自我","Mismatch","Formal",""
"","","","","","psychophysics","149","365468","0.0-9.0-0.0-0.0-0.0-0.89","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/C_ambi40.png","自我","Image","Word","1000","1150","朋友","Mismatch","Formal",""
"","","","","","psychophysics","150","368139","0.0-9.0-0.0-0.0-0.0-0.90","null","","null","","","","","","","","","","","","","key","null","16.693714285715085","720","446","f","false","3_Stimuli/C_ambi40.png","朋友","Image","Word","1000","1150","朋友","Match","Formal",""
"","","","","","psychophysics","151","370799","0.0-9.0-0.0-0.0-0.0-0.91","null","","null","","","","","","","","","","","","","key","null","16.666000000000018","720","446","j","false","3_Stimuli/S_ambi40.png","朋友","Word","Image","1150","1000","自我","Mismatch","Formal",""
"","","","","","psychophysics","152","372744","0.0-9.0-0.0-0.0-0.0-0.92","785","","j","","","","","","","","","","","","","key","j","16.665999999999716","720","446","j","true","3_Stimuli/S_ambi40.png","他人","Word","Image","1150","1000","自我","Mismatch","Formal",""
"","","","","","psychophysics","153","374458","0.0-9.0-0.0-0.0-0.0-0.93","558","","j","","","","","","","","","","","","","key","j","16.666000000000032","720","446","f","false","3_Stimuli/T_ambi40.png","他人","Image","Word","1000","1150","他人","Match","Formal",""
"","","","","","psychophysics","154","375796","0.0-9.0-0.0-0.0-0.0-0.94","181","","j","","","","","","","","","","","","","key","j","16.666000000000423","720","446","f","false","3_Stimuli/C_ambi40.png","朋友","Image","Word","1000","1150","朋友","Match","Formal",""
"","","","","","psychophysics","155","378466","0.0-9.0-0.0-0.0-0.0-0.95","null","","null","","","","","","","","","","","","","key","null","16.666000000000025","720","446","j","false","3_Stimuli/T_ambi40.png","自我","Word","Image","1150","1000","他人","Mismatch","Formal",""
"","","","","","psychophysics","156","381467","0.0-9.0-0.0-0.0-0.0-0.96","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/S_ambi40.png","朋友","Word","Image","1150","1000","自我","Mismatch","Formal",""
"","","","","","psychophysics","157","384470","0.0-9.0-0.0-0.0-0.0-0.97","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/C_ambi40.png","朋友","Word","Image","1150","1000","朋友","Match","Formal",""
"","","","","","psychophysics","158","387466","0.0-9.0-0.0-0.0-0.0-0.98","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/T_ambi40.png","朋友","Image","Word","1000","1150","他人","Mismatch","Formal",""
"","","","","","psychophysics","159","390471","0.0-9.0-0.0-0.0-0.0-0.99","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/S_ambi40.png","自我","Image","Word","1000","1150","自我","Match","Formal",""
"","","","","","psychophysics","160","393470","0.0-9.0-0.0-0.0-0.0-0.100","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/S_ambi40.png","自我","Word","Image","1150","1000","自我","Match","Formal",""
"","","","","","psychophysics","161","396470","0.0-9.0-0.0-0.0-0.0-0.101","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/C_ambi40.png","他人","Image","Word","1000","1150","朋友","Mismatch","Formal",""
"","","","","","psychophysics","162","399470","0.0-9.0-0.0-0.0-0.0-0.102","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/T_ambi40.png","朋友","Word","Image","1150","1000","他人","Mismatch","Formal",""
"","","","","","psychophysics","163","402466","0.0-9.0-0.0-0.0-0.0-0.103","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/C_ambi40.png","朋友","Image","Word","1000","1150","朋友","Match","Formal",""
"","","","","","psychophysics","164","405471","0.0-9.0-0.0-0.0-0.0-0.104","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","f","false","3_Stimuli/T_ambi40.png","他人","Word","Image","1150","1000","他人","Match","Formal",""
"","","","","","psychophysics","165","408466","0.0-9.0-0.0-0.0-0.0-0.105","null","","null","","","","","","","","","","","","","key","null","NaN","720","446","j","false","3_Stimuli/C_ambi40.png","他人","Word","Image","1150","1000","朋友","Mismatch","Formal",""
"","","","","","psychophysics","166","411130","0.0-9.0-0.0-0.0-0.0-0.106","null","","null","","","","","","","","","","","","","key","null","16.62423529411899","720","446","j","false","3_Stimuli/C_ambi40.png","自我","Image","Word","1000","1150","朋友","Mismatch","Formal",""
"","","","","","psychophysics","167","412549","0.0-9.0-0.0-0.0-0.0-0.107","258","","j","","","","","","","","","","","","","key","j","16.665999999999894","720","446","f","false","3_Stimuli/S_ambi40.png","自我","Image","Word","1000","1150","自我","Match","Formal",""
