"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"","","","","","psychophysics","164","427249","0.0-9.0-0.0-0.3","996","","j","","","","","","","","","","","","","key","j","16.662635658915036","768","428","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","j","true","Formal"
"","","","","","psychophysics","165","429365","0.0-9.0-0.0-0.4","822","","j","","","","","","","","","","","","","key","j","16.659206349206332","768","428","./1_3_Stimuli/T_ambi40.png","自我","Image","朋友","Mismatch","j","true","Formal"
"","","","","","psychophysics","166","431597","0.0-9.0-0.0-0.5","1071","","j","","","","","","","","","","","","","key","j","16.660751879699284","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","f","false","Formal"
"","","","","","psychophysics","167","433690","0.0-9.0-0.0-0.6","846","","f","","","","","","","","","","","","","key","f","16.66322580645154","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Formal"
"","","","","","psychophysics","168","435755","0.0-9.0-0.0-0.7","887","","f","","","","","","","","","","","","","key","f","16.663739837398488","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","true","Formal"
"","","","","","psychophysics","169","437593","0.0-9.0-0.0-0.8","671","","j","","","","","","","","","","","","","key","j","16.661090909090657","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Image","自我","Mismatch","j","true","Formal"
"","","","","","psychophysics","170","439740","0.0-9.0-0.0-0.9","871","","f","","","","","","","","","","","","","key","f","16.663125000000036","768","428","./1_3_Stimuli/T_ambi40.png","他人","Image","朋友","Mismatch","j","false","Formal"
"","","","","","psychophysics","171","441721","0.0-9.0-0.0-0.10","748","","j","","","","","","","","","","","","","key","j","16.66102564102586","768","428","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","j","true","Formal"
"","","","","","psychophysics","172","443643","0.0-9.0-0.0-0.11","647","","f","","","","","","","","","","","","","key","f","16.661391304347806","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Formal"
"","","","","","psychophysics","173","445708","0.0-9.0-0.0-0.12","907","","f","","","","","","","","","","","","","key","f","16.65691056910607","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","true","Formal"
"","","","","","psychophysics","174","447446","0.0-9.0-0.0-0.13","573","","j","","","","","","","","","","","","","key","j","16.661165048543463","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","自我","Mismatch","j","true","Formal"
"","","","","","psychophysics","175","449341","0.0-9.0-0.0-0.14","739","","j","","","","","","","","","","","","","key","j","16.663716814159294","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Word","自我","Mismatch","j","true","Formal"
"","","","","","psychophysics","176","451429","0.0-9.0-0.0-0.15","925","","j","","","","","","","","","","","","","key","j","16.663064516128806","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","自我","Mismatch","j","true","Formal"
"","","","","","psychophysics","177","453744","0.0-9.0-0.0-0.16","1161","","f","","","","","","","","","","","","","key","f","16.663188405797236","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","true","Formal"
"","","","","","psychophysics","178","455902","0.0-9.0-0.0-0.17","999","","j","","","","","","","","","","","","","key","j","16.661395348837264","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","j","true","Formal"
"","","","","","psychophysics","179","457847","0.0-9.0-0.0-0.18","666","","j","","","","","","","","","","","","","key","j","16.658260869564813","768","428","./1_3_Stimuli/T_ambi40.png","自我","Word","朋友","Mismatch","j","true","Formal"
"","","","","","psychophysics","180","459932","0.0-9.0-0.0-0.19","925","","j","","","","","","","","","","","","","key","j","16.65903225806476","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","j","true","Formal"
"","","","","","psychophysics","181","461830","0.0-9.0-0.0-0.20","736","","f","","","","","","","","","","","","","key","f","16.65625","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Formal"
