success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,view_history,response_type,key_press,avg_frame_time,center_x,center_y,image,word,target,valence,matchness,correct_response,correct,exp_condition,result
,,,,,psychophysics,752,1818757,0.0-8.0-0.4-0.584,677,,j,,,,,,,,,,,,,key,j,16.64906481,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,FALSE,Formal,
,,,,,psychophysics,753,1820573,0.0-8.0-0.4-0.585,654,,f,,,,,,,,,,,,,key,f,16.65007407,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,754,1822318,0.0-8.0-0.4-0.586,585,,j,,,,,,,,,,,,,key,j,16.65059223,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,朋友,Word,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,755,1824132,0.0-8.0-0.4-0.587,647,,f,,,,,,,,,,,,,key,f,16.64875701,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Image,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,756,1825823,0.0-8.0-0.4-0.588,531,,f,,,,,,,,,,,,,key,f,16.65061,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,自我,Word,朋友,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,757,1827737,0.0-8.0-0.4-0.589,759,,j,,,,,,,,,,,,,key,j,16.65066667,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Word,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,758,1829769,0.0-8.0-0.4-0.590,879,,j,,,,,,,,,,,,,key,j,16.6502562,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Image,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,759,1831652,0.0-8.0-0.4-0.591,726,,f,,,,,,,,,,,,,key,f,16.65044643,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,760,1833406,0.0-8.0-0.4-0.592,599,,f,,,,,,,,,,,,,key,f,16.65029808,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Word,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,761,1835232,0.0-8.0-0.4-0.593,673,,j,,,,,,,,,,,,,key,j,16.65037037,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,他人,Word,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,762,1836984,0.0-8.0-0.4-0.594,594,,f,,,,,,,,,,,,,key,f,16.81196117,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,763,1839247,0.0-8.0-0.4-0.595,1109,,j,,,,,,,,,,,,,key,j,16.65016296,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Word,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,764,1840968,0.0-8.0-0.4-0.596,565,,f,,,,,,,,,,,,,key,f,16.65045631,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Word,他人,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,765,1843322,0.0-8.0-0.4-0.597,1192,,j,,,,,,,,,,,,,key,j,16.65044604,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Image,朋友,Mismatch,j,TRUE,Formal,
