"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","result"
"","","","","","psychophysics","267","1184939","0.0-9.0-0.1-0.154","null","","null","","","","","","","","","","","","","key","null","16.663571428571196","960","536","3_Stimuli/C_ambi40.png","朋友","Image","自我","Mismatch","j","false","Formal",""
"","","","","","psychophysics","268","1186785","0.0-9.0-0.1-0.155","694","","j","","","","","","","","","","","","","key","j","16.663745454544287","960","536","3_Stimuli/T_ambi40.png","自我","Word","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","269","1189051","0.0-9.0-0.1-0.156","1113","","j","","","","","","","","","","","","","key","j","16.66422222222167","960","536","3_Stimuli/T_ambi40.png","他人","Image","他人","Match","f","false","Formal",""
"","","","","","psychophysics","270","1190702","0.0-9.0-0.1-0.157","500","","f","","","","","","","","","","","","","key","f","16.66320408163212","960","536","3_Stimuli/T_ambi40.png","他人","Word","他人","Match","f","true","Formal",""
"","","","","","psychophysics","271","1192528","0.0-9.0-0.1-0.158","674","","f","","","","","","","","","","","","","key","f","16.664398148147114","960","536","3_Stimuli/C_ambi40.png","自我","Image","自我","Match","f","true","Formal",""
"","","","","","psychophysics","272","1194385","0.0-9.0-0.1-0.159","706","","j","","","","","","","","","","","","","key","j","16.663045045045028","960","536","3_Stimuli/C_ambi40.png","他人","Word","自我","Mismatch","j","true","Formal",""
"","","","","","psychophysics","273","1196562","0.0-9.0-0.1-0.160","1025","","j","","","","","","","","","","","","","key","j","16.664395348838525","960","536","3_Stimuli/T_ambi40.png","自我","Image","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","274","1198333","0.0-9.0-0.1-0.161","619","","f","","","","","","","","","","","","","key","f","16.66380000000021","960","536","3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","f","true","Formal",""
"","","","","","psychophysics","275","1200063","0.0-9.0-0.1-0.162","579","","f","","","","","","","","","","","","","key","f","16.663805825244726","960","536","3_Stimuli/C_ambi40.png","自我","Word","自我","Match","f","true","Formal",""
"","","","","","psychophysics","276","1201918","0.0-9.0-0.1-0.163","702","","j","","","","","","","","","","","","","key","j","16.66430000000083","960","536","3_Stimuli/T_ambi40.png","朋友","Image","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","277","1203616","0.0-9.0-0.1-0.164","546","","f","","","","","","","","","","","","","key","f","16.663920792080184","960","536","3_Stimuli/C_ambi40.png","自我","Image","自我","Match","f","true","Formal",""
"","","","","","psychophysics","278","1205579","0.0-9.0-0.1-0.165","812","","f","","","","","","","","","","","","","key","f","16.663717948718187","960","536","3_Stimuli/T_ambi40.png","他人","Image","他人","Match","f","true","Formal",""
"","","","","","psychophysics","279","1207441","0.0-9.0-0.1-0.166","711","","j","","","","","","","","","","","","","key","j","16.66400000000034","960","536","3_Stimuli/T_ambi40.png","朋友","Word","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","280","1209370","0.0-9.0-0.1-0.167","776","","f","","","","","","","","","","","","","key","f","16.664243478261177","960","536","3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","f","true","Formal",""
"","","","","","psychophysics","281","1211251","0.0-9.0-0.1-0.168","730","","f","","","","","","","","","","","","","key","f","17.28014814814863","960","536","3_Stimuli/S_ambi40.png","他人","Word","朋友","Mismatch","j","false","Formal",""
"","","","","","psychophysics","282","1213429","0.0-9.0-0.1-0.169","1027","","f","","","","","","","","","","","","","key","f","16.66549230769205","960","536","3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","f","true","Formal",""
"","","","","","psychophysics","283","1215487","0.0-9.0-0.1-0.170","906","","j","","","","","","","","","","","","","key","j","16.6640163934427","960","536","3_Stimuli/T_ambi40.png","自我","Word","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","284","1217856","0.0-9.0-0.1-0.171","1218","","f","","","","","","","","","","","","","key","f","16.663872340424913","960","536","3_Stimuli/T_ambi40.png","他人","Word","他人","Match","f","true","Formal",""
"","","","","","psychophysics","285","1220511","0.0-9.0-0.1-0.172","1503","","j","","","","","","","","","","","","","key","j","16.66400628930848","960","536","3_Stimuli/S_ambi40.png","自我","Word","朋友","Mismatch","j","true","Formal",""
"","","","","","psychophysics","286","1222355","0.0-9.0-0.1-0.173","691","","f","","","","","","","","","","","","","key","f","16.66428440367085","960","536","3_Stimuli/C_ambi40.png","自我","Image","自我","Match","f","true","Formal",""
"","","","","","psychophysics","287","1224108","0.0-9.0-0.1-0.174","601","","f","","","","","","","","","","","","","key","f","16.664105769231146","960","536","3_Stimuli/C_ambi40.png","自我","Word","自我","Match","f","true","Formal",""
"","","","","","psychophysics","288","1226183","0.0-9.0-0.1-0.175","924","","f","","","","","","","","","","","","","key","f","16.66486178861734","960","536","3_Stimuli/T_ambi40.png","他人","Word","他人","Match","f","true","Formal",""
"","","","","","psychophysics","289","1228546","0.0-9.0-0.1-0.176","1210","","f","","","","","","","","","","","","","key","f","16.662964539006285","960","536","3_Stimuli/C_ambi40.png","朋友","Image","自我","Mismatch","j","false","Formal",""
"","","","","","psychophysics","290","1230743","0.0-9.0-0.1-0.177","1044","","j","","","","","","","","","","","","","key","j","16.661458015267716","960","536","3_Stimuli/C_ambi40.png","他人","Image","自我","Mismatch","j","true","Formal",""
"","","","","","psychophysics","291","1232755","0.0-9.0-0.1-0.178","859","","j","","","","","","","","","","","","","key","j","16.66434453781342","960","536","3_Stimuli/C_ambi40.png","朋友","Word","自我","Mismatch","j","true","Formal",""
"","","","","","psychophysics","292","1235068","0.0-9.0-0.1-0.179","1162","","f","","","","","","","","","","","","","key","f","16.663948905110413","960","536","3_Stimuli/T_ambi40.png","他人","Image","他人","Match","f","true","Formal",""
"","","","","","psychophysics","293","1236978","0.0-9.0-0.1-0.180","759","","j","","","","","","","","","","","","","key","j","16.662876106194936","960","536","3_Stimuli/T_ambi40.png","朋友","Image","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","294","1238679","0.0-9.0-0.1-0.181","550","","f","","","","","","","","","","","","","key","f","16.66421782178343","960","536","3_Stimuli/C_ambi40.png","自我","Word","自我","Match","f","true","Formal",""
"","","","","","psychophysics","295","1240677","0.0-9.0-0.1-0.182","847","","j","","","","","","","","","","","","","key","j","16.663848739495","960","536","3_Stimuli/T_ambi40.png","他人","Image","他人","Match","f","false","Formal",""
"","","","","","psychophysics","296","1242851","0.0-9.0-0.1-0.183","1023","","f","","","","","","","","","","","","","key","f","16.66531007751902","960","536","3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","f","true","Formal",""
"","","","","","psychophysics","297","1245380","0.0-9.0-0.1-0.184","1377","","j","","","","","","","","","","","","","key","j","16.662774834436494","960","536","3_Stimuli/S_ambi40.png","自我","Image","朋友","Mismatch","j","true","Formal",""
